序号,评论ID,评论内容,评论时间,层级,根评论ID,父评论ID,视频ID,视频链接,视频标题,评论跳转链接
11,265680525585,回复 @乐巡lossen :还有化学本来79的水平这回才70,2025-06-26 17:19:02,回复,265616535521,265680177825,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265680525585
12,265680341793,回复 @乐巡lossen :我生物97 但是数学平常做高考卷120的水平也考了个97[笑哭],2025-06-26 17:15:53,回复,265616535521,265680177825,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265680341793
13,265679978721,回复 @乐巡lossen :我也563物化生,2025-06-26 17:12:50,回复,265616535521,265678588897,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265679978721
14,265680084433,回复 @希曦season :我去一个分,2025-06-26 17:12:14,回复,265616535521,265627216097,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265680084433
15,264050731489,回复 @咱可是-贤狼赫萝 :你还能自己造出来一个意思啊,2025-06-09 11:29:32,回复,264012228641,264044633985,114647239755499,https://www.bilibili.com/video/av114647239755499,北京高考第二天英语 屎！,https://www.bilibili.com/video/av114647239755499#reply264050731489
16,264011231441,回复 @抒环_Lyric :其实我打错了 b第三个b,2025-06-08 22:02:26,回复,264006156081,264010584945,114647239755499,https://www.bilibili.com/video/av114647239755499,北京高考第二天英语 屎！,https://www.bilibili.com/video/av114647239755499#reply264011231441
17,264008944081,回复 @梦成秋秋 :那个你错了,2025-06-08 21:40:04,回复,264006156081,265047408064,114647239755499,https://www.bilibili.com/video/av114647239755499,北京高考第二天英语 屎！,https://www.bilibili.com/video/av114647239755499#reply264008944081
18,264002802769,回复 @抒环_Lyric :说明一个方法,2025-06-08 20:33:01,回复,263996372497,264002453841,114647239755499,https://www.bilibili.com/video/av114647239755499,北京高考第二天英语 屎！,https://www.bilibili.com/video/av114647239755499#reply264002802769
19,263999350929,bda ccda gedca 听说的答案,2025-06-08 19:55:55,回复,263996372497,263996372497,114647239755499,https://www.bilibili.com/video/av114647239755499,北京高考第二天英语 屎！,https://www.bilibili.com/video/av114647239755499#reply263999350929
20,263992433665,一般吧,2025-06-08 18:39:26,一级评论,,,114647239755499,https://www.bilibili.com/video/av114647239755499,北京高考第二天英语 屎！,https://www.bilibili.com/video/av114647239755499#reply263992433665
21,263307372545,真好啊,2025-06-01 08:12:40,一级评论,,,114562783248619,https://www.bilibili.com/video/av114562783248619,14岁初二牲的自新大陆 在仍空无一物的新世界,https://www.bilibili.com/video/av114562783248619#reply263307372545
22,259803148641,回复 @bili_52137440786 :自己去搜生物课改,2025-04-18 21:28:57,回复,258889044656,259755935217,114229168313170,https://www.bilibili.com/video/av114229168313170,关节软骨间的摩擦系数仅有0.002，这要比钢轴承的活动容易100倍。,https://www.bilibili.com/video/av114229168313170#reply259803148641
23,258453457073,回复 @妖秀信鸽 :理解能力差的小朋友去玩去吧,2025-04-01 22:54:47,回复,258889044656,259285852480,114229168313170,https://www.bilibili.com/video/av114229168313170,关节软骨间的摩擦系数仅有0.002，这要比钢轴承的活动容易100倍。,https://www.bilibili.com/video/av114229168313170#reply258453457073
24,258109163745,回复 @王枢不是王叔 :怕您尊贵的身体懒得动 我特意摆在你的脸上 让你好好看看https://b23.tv/BV1T5411G7Q8,2025-03-28 21:39:11,回复,258889044656,258099961793,114229168313170,https://www.bilibili.com/video/av114229168313170,关节软骨间的摩擦系数仅有0.002，这要比钢轴承的活动容易100倍。,https://www.bilibili.com/video/av114229168313170#reply258109163745
25,258108786385,回复 @王枢不是王叔 :课本早就改革了现在是选修一,2025-03-28 21:35:51,回复,258889044656,258099961793,114229168313170,https://www.bilibili.com/video/av114229168313170,关节软骨间的摩擦系数仅有0.002，这要比钢轴承的活动容易100倍。,https://www.bilibili.com/video/av114229168313170#reply258108786385
26,258092872113,回复 @想成为闪刀姬高手 :那是遗传,2025-03-28 18:31:58,回复,258889044656,258913334992,114229168313170,https://www.bilibili.com/video/av114229168313170,关节软骨间的摩擦系数仅有0.002，这要比钢轴承的活动容易100倍。,https://www.bilibili.com/video/av114229168313170#reply258092872113
27,258092196849,回复 @王枢不是王叔 :细胞外液这个概念一般人第一次接触应该是在生物选修一 而这是选修内容不是必修内容 所以大部分人是接触不到这个知识点的 而你却自以为是的假定认为B站上的所有人都应该高中选考生物或者大学是生物医学专业 你的思维水平让人忍俊不禁,2025-03-28 18:22:17,回复,258889044656,258081315041,114229168313170,https://www.bilibili.com/video/av114229168313170,关节软骨间的摩擦系数仅有0.002，这要比钢轴承的活动容易100倍。,https://www.bilibili.com/video/av114229168313170#reply258092196849
28,258091875121,回复 @王枢不是王叔 :看你这种高高在上的人就好笑 学了点自己专业的知识就开始了 你将来是不会有成就的,2025-03-28 18:19:16,回复,258889044656,258090389537,114229168313170,https://www.bilibili.com/video/av114229168313170,关节软骨间的摩擦系数仅有0.002，这要比钢轴承的活动容易100倍。,https://www.bilibili.com/video/av114229168313170#reply258091875121
29,257796292417,太low,2025-03-24 22:17:06,回复,245678692689,245678692689,1206456702,https://www.bilibili.com/video/av1206456702,(获取失败),https://www.bilibili.com/video/av1206456702#reply257796292417
30,257277987569,回复 @封包 :你如果是这种生活条件的话 那么哲学不适合你 人只有吃饱穿暖之后才会思考人生的意义 古今哪个哲学家的童年生活是悲惨的？,2025-03-18 12:25:11,回复,256908094400,257168788529,1039813437811589129,https://www.bilibili.com/video/av1039813437811589129,(视频不存在或已删除),https://www.bilibili.com/video/av1039813437811589129#reply257277987569
31,257277743393,回复 @豁你不是人 :多抽奖 多看抽象,2025-03-18 12:22:18,回复,256908094400,257968599968,1039813437811589129,https://www.bilibili.com/video/av1039813437811589129,(视频不存在或已删除),https://www.bilibili.com/video/av1039813437811589129#reply257277743393
32,257277729985,回复 @封包 :你不接纳社会 社会就会抛弃你,2025-03-18 12:21:51,回复,256908094400,257169411297,1039813437811589129,https://www.bilibili.com/video/av1039813437811589129,(视频不存在或已删除),https://www.bilibili.com/video/av1039813437811589129#reply257277729985
33,257277797025,回复 @封包 :封闭自己的人永远不可能能成功,2025-03-18 12:21:32,回复,256908094400,257169411297,1039813437811589129,https://www.bilibili.com/video/av1039813437811589129,(视频不存在或已删除),https://www.bilibili.com/video/av1039813437811589129#reply257277797025
34,257159712881,回复 @封包 :没有什么谁救了谁 如果自己不想活 谁也没法救,2025-03-16 21:09:38,回复,256908094400,256170293713,1039813437811589129,https://www.bilibili.com/video/av1039813437811589129,(视频不存在或已删除),https://www.bilibili.com/video/av1039813437811589129#reply257159712881
35,257159411313,回复 @封包 :你有点像活在自己的世界里的那种人,2025-03-16 21:06:12,回复,256908094400,256170293713,1039813437811589129,https://www.bilibili.com/video/av1039813437811589129,(视频不存在或已删除),https://www.bilibili.com/video/av1039813437811589129#reply257159411313
36,257065843713,回复 @-Rayee :我们高三70分钟 不过一天就七节课,2025-03-15 20:33:44,回复,257697922864,257733982192,114110318518168,https://www.bilibili.com/video/av114110318518168,(获取失败),https://www.bilibili.com/video/av114110318518168#reply257065843713
37,256568103713,回复 @海阔老舍跃天高Kobe飞 :你IP还不配地域歧视,2025-03-09 14:19:03,回复,257265838640,257313715744,114117348168723,https://www.bilibili.com/video/av114117348168723,中国车牌丑吗？,https://www.bilibili.com/video/av114117348168723#reply256568103713
38,255989174001,回复 @元朔- :牛逼,2025-03-02 09:41:59,回复,158753940880,256499315856,569335543,https://www.bilibili.com/video/av569335543,如何掰弯你的朋友（超实用教学）,https://www.bilibili.com/video/av569335543#reply255989174001
39,255986251681,回复 @十工左 :早不看了,2025-03-02 08:50:37,回复,256617246160,255976302865,113893254894095,https://www.bilibili.com/video/av113893254894095,今年我的鸵鸟蛋成功了吗？怎么腌成黑的了？,https://www.bilibili.com/video/av113893254894095#reply255986251681
40,255971654913,回复 @十工左 :去玩你的fgo去吧[笑哭],2025-03-02 00:40:02,回复,256617246160,255970240369,113893254894095,https://www.bilibili.com/video/av113893254894095,今年我的鸵鸟蛋成功了吗？怎么腌成黑的了？,https://www.bilibili.com/video/av113893254894095#reply255971654913
41,255946728033,回复 @蒂蒂の抱枕 :反正又不少你一个,2025-03-01 19:59:52,回复,256575636480,256688948592,113893254894095,https://www.bilibili.com/video/av113893254894095,今年我的鸵鸟蛋成功了吗？怎么腌成黑的了？,https://www.bilibili.com/video/av113893254894095#reply255946728033
42,255526690577,回复 @渔火幽幽-小米单推 :跟狗做一桌吃饭去,2025-02-24 16:08:31,回复,254826848433,254866088321,114006534655056,https://www.bilibili.com/video/av114006534655056,华为watch D2可医保支付，医保局回应:华为有批文，合规！,https://www.bilibili.com/video/av114006534655056#reply255526690577
43,255526454369,你那种根本就不准,2025-02-24 16:05:23,回复,255572642352,255572642352,114006534655056,https://www.bilibili.com/video/av114006534655056,华为watch D2可医保支付，医保局回应:华为有批文，合规！,https://www.bilibili.com/video/av114006534655056#reply255526454369
44,255523068081,回复 @一般路过灰风 :连刷两个视频遇到你了,2025-02-24 15:01:14,回复,255510606385,256244644080,114046414233329,https://www.bilibili.com/video/av114046414233329,这就是我不跑滴滴的原因,https://www.bilibili.com/video/av114046414233329#reply255523068081
45,254882516849,回复 @Boeing777--300ER :我初中也是十七中的 只不过不是这个校区,2025-02-16 21:38:27,回复,1903536365,4185619949,3458288,https://www.bilibili.com/video/av3458288,【赵粤】秒拍＆美拍＆小咖秀合集,https://www.bilibili.com/video/av3458288#reply254882516849
46,254843254321,玉手n m,2025-02-16 13:25:44,一级评论,,,848847180,https://www.bilibili.com/video/av848847180,纤纤玉手,https://www.bilibili.com/video/av848847180#reply254843254321
47,254784402737,挺好,2025-02-15 20:33:30,回复,247841032512,247841032512,113162741554599,https://www.bilibili.com/video/av113162741554599,怒花一百块抽出框头像，我后悔了,https://www.bilibili.com/video/av113162741554599#reply254784402737
48,254659750769,关注六七年了 又刷到了,2025-02-14 14:58:26,一级评论,,,338397294,https://www.bilibili.com/video/av338397294,【逆战】就你想当恐怖分子啊？,https://www.bilibili.com/video/av338397294#reply254659750769
49,254622525393,回复 @哒哒哒的好哥们 :黄色废料姐不必说别人,2025-02-14 02:04:27,回复,253618433617,255132671968,113882332926427,https://www.bilibili.com/video/av113882332926427,军迷老婆爱撩？集邮凑齐海陆空？,https://www.bilibili.com/video/av113882332926427#reply254622525393
50,254598166081,反应nmd现实,2025-02-13 21:06:18,回复,255285072384,255285072384,113993565868348,https://www.bilibili.com/video/av113993565868348,神友发动黄金体验.镇魂曲，使亲爹永远无法达到死亡的真实（）,https://www.bilibili.com/video/av113993565868348#reply254598166081
51,254595800625,回复 @账号已注销33697 :你是连hello都不会吗 调教得挺好 这么急着护主,2025-02-13 20:41:16,回复,253523752337,254595668017,113905804248415,https://www.bilibili.com/video/av113905804248415,新版初中英语教材也讲中国味，连主角名字都谐音复兴腾飞,https://www.bilibili.com/video/av113905804248415#reply254595800625
52,254566854177,回复 @Hesitatinggggg :李家坡人是连最基础的英语都不会吗？,2025-02-13 14:41:06,回复,253523752337,254962276176,113905804248415,https://www.bilibili.com/video/av113905804248415,新版初中英语教材也讲中国味，连主角名字都谐音复兴腾飞,https://www.bilibili.com/video/av113905804248415#reply254566854177
53,254566707441,回复 @辛人_ :那是你自己的初中生活,2025-02-13 14:38:40,回复,254354437696,254114676321,113905804248415,https://www.bilibili.com/video/av113905804248415,新版初中英语教材也讲中国味，连主角名字都谐音复兴腾飞,https://www.bilibili.com/video/av113905804248415#reply254566707441
54,254045614097,回复 @想用力贴你 :新加坡人均GDP比日本高几倍,2025-02-08 00:43:24,回复,250624023761,251835986033,29145329,https://www.bilibili.com/video/av29145329,【航拍】亚洲最发达国家——日本,https://www.bilibili.com/video/av29145329#reply254045614097
55,253335750705,回复 @缄默灬不语丿 :快去玩你的原神去,2025-01-31 12:18:23,回复,253945983072,253332124657,113914897502943,https://www.bilibili.com/video/av113914897502943,年兽:老人小孩先走！,https://www.bilibili.com/video/av113914897502943#reply253335750705
56,252978957585,回复 @妹欲 :滚,2025-01-27 13:13:47,回复,252898016785,252910656001,113893171009434,https://www.bilibili.com/video/av113893171009434,清纯女高，网骗开盒 样样精！样样通！,https://www.bilibili.com/video/av113893171009434#reply252978957585
57,252977680001,标记山东人,2025-01-27 13:00:21,一级评论,,,680766159211986999,https://www.bilibili.com/video/av680766159211986999,(视频不存在或已删除),https://www.bilibili.com/video/av680766159211986999#reply252977680001
58,252897289873,你可以买个低音的,2025-01-26 15:39:52,回复,247759722673,247759722673,517122331,https://www.bilibili.com/video/av517122331,周末来美丽盖坦湖畔，听音乐放松一下！爱尔兰哨笛曲 Lough Guitane 完整版教程 新手指法详解教程【熊猫教程】,https://www.bilibili.com/video/av517122331#reply252897289873
59,252697351825,我又唱又跳关他生病什么事,2025-01-24 13:40:00,回复,253273777056,253273777056,113763969664504,https://www.bilibili.com/video/av113763969664504,《赵露思生病，跟我有什么关系》歌曲,https://www.bilibili.com/video/av113763969664504#reply252697351825
60,252697053489,那咋了,2025-01-24 13:35:09,回复,253306209232,253306209232,113763969664504,https://www.bilibili.com/video/av113763969664504,《赵露思生病，跟我有什么关系》歌曲,https://www.bilibili.com/video/av113763969664504#reply252697053489
61,251998664545,回复 @heiserberge :牛顿运动学在微观高速不适用 比他更晚的相对论或者量子力学才适用,2025-01-17 00:17:43,回复,251173165760,252461431248,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply251998664545
62,251221726993,回复 @耶梦加得TAT :今天你考公了吗？,2025-01-07 19:57:19,回复,251173165760,251122021553,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply251221726993
63,251221782657,回复 @kypwe147 :那确实有点蠢,2025-01-07 19:56:46,回复,251173165760,251183921841,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply251221782657
64,251043151697,回复 @人间的冬瓜 :这两种人的阶级根本就不一样,2025-01-05 16:26:56,回复,251173165760,251570803104,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply251043151697
65,250955602673,有,2025-01-04 16:32:31,回复,250686086544,250686086544,4239348,https://www.bilibili.com/video/av4239348,老腊肉（普通DISCO）,https://www.bilibili.com/video/av4239348#reply250955602673
66,250954197121,回复 @仙茅子 :说的对 一个企业倒闭之后 这里面的员工可以重新找工作 资本家也可以重新找一个企业当资本家吗？,2025-01-04 16:13:45,回复,251173165760,251479723984,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply250954197121
67,250954062001,回复 @仙茅子 :你这第一句话就错了 资本家雇佣员工 虽然说有选拔 但不一定完全筛选出能力较突出的员工 这算不算一种承担风险？如果一个资本家是一个市场领域的开拓者 的 按你的理论来说不就是没有风险了吗？,2025-01-04 16:12:03,回复,251173165760,251479486176,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply250954062001
68,250953812449,回复 @不列颠联盟_official :哎，看来是哑口无言了 你好歹反驳几句啊 那就给你推荐几本吧 国家与gm 反杜林论 不知道佐佐看过没有,2025-01-04 16:07:22,回复,251173165760,251479953664,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply250953812449
69,250947710593,回复 @不列颠联盟_official :https://b23.tv/BV1y24y1g7L7 多了解了解吧 别只念经了,2025-01-04 14:37:43,回复,251173165760,251455260224,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply250947710593
70,250947685601,回复 @不列颠联盟_official :视频说的很清楚 资本家获得利润是因为承受了更多的风险 你可以用剩余价值理论反驳我 我也可以用这个理论说服你,2025-01-04 14:36:45,回复,251173165760,251455260224,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply250947685601
71,250926842145,回复 @不列颠联盟_official :拿个几百年前的理论当真理[笑哭][笑哭][笑哭],2025-01-04 09:46:08,回复,251173165760,251452091072,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply250926842145
72,250904037265,不要念经了好吗？,2025-01-03 23:06:16,回复,251173165760,251173165760,113581651722565,https://www.bilibili.com/video/av113581651722565,我嘞个久经考验的资产阶级战士,https://www.bilibili.com/video/av113581651722565#reply250904037265
73,250384791185,那叫一个地道,2024-12-28 19:47:53,一级评论,,,113728989172897,https://www.bilibili.com/video/av113728989172897,MC新版本：老北京更新,https://www.bilibili.com/video/av113728989172897#reply250384791185
74,250404428912,回复 @踢踢撸克 :不值得,2024-12-22 22:40:16,回复,3841439435,245110168913,245628620,https://www.bilibili.com/video/av245628620,布达拉宫地下八层什么样,https://www.bilibili.com/video/av245628620#reply250404428912
75,247461093169,回复 @redrisk :有毛病,2024-11-22 23:21:12,回复,247606496432,247607528176,113513066403645,https://www.bilibili.com/video/av113513066403645,日本博主Osada：不安的再次抵达 这就是中国… 【北京1日目】,https://www.bilibili.com/video/av113513066403645#reply247461093169
76,247460556353,回复 @07829344 :山东人指点上北京空气不好了,2024-11-22 23:15:08,回复,247309414913,247805959536,113513066403645,https://www.bilibili.com/video/av113513066403645,日本博主Osada：不安的再次抵达 这就是中国… 【北京1日目】,https://www.bilibili.com/video/av113513066403645#reply247460556353
77,247300192513,回复 @克莱登大学博士生导师 :还没有留存下来 太搞笑了,2024-11-20 23:18:56,回复,245861749872,245766833921,113300314528140,https://www.bilibili.com/video/av113300314528140,一出好戏，一场悲剧，再看样板戏,https://www.bilibili.com/video/av113300314528140#reply247300192513
78,247383614848,回复 @摸鱼的屑 :少玩点gal,2024-11-17 21:57:32,回复,246771062913,246805669217,113480065618328,https://www.bilibili.com/video/av113480065618328,再过2253天，我们说不定会找到外星生物,https://www.bilibili.com/video/av113480065618328#reply247383614848
79,247383201840,看视频,2024-11-17 21:52:55,回复,246870077217,246870077217,113480065618328,https://www.bilibili.com/video/av113480065618328,再过2253天，我们说不定会找到外星生物,https://www.bilibili.com/video/av113480065618328#reply247383201840
80,247279764432,回复 @腐烂的罗非鱼 :稳上一本怎么了 一本很高吗,2024-11-16 19:29:43,回复,247192431296,247261893536,113466811621229,https://www.bilibili.com/video/av113466811621229,走读生 骑行,https://www.bilibili.com/video/av113466811621229#reply247279764432
81,247279046768,北京公立学校比你放得早,2024-11-16 19:21:34,回复,247277365600,247277365600,113466811621229,https://www.bilibili.com/video/av113466811621229,走读生 骑行,https://www.bilibili.com/video/av113466811621229#reply247279046768
82,246771201472,回复 @greenkkkkkk :真蠢,2024-11-10 17:15:34,回复,246600445664,246754045504,113303586080838,https://www.bilibili.com/video/av113303586080838,经典电影,https://www.bilibili.com/video/av113303586080838#reply246771201472
83,246434414129,回复 @绫玲莞 :还真是,2024-11-10 10:00:48,回复,246383042737,246722039456,113389166664029,https://www.bilibili.com/video/av113389166664029,成绩就是一切,https://www.bilibili.com/video/av113389166664029#reply246434414129
84,246402528865,回复 @阿卡菌A :买着玩,2024-11-09 21:48:13,回复,246383042737,246402501569,113389166664029,https://www.bilibili.com/video/av113389166664029,成绩就是一切,https://www.bilibili.com/video/av113389166664029#reply246402528865
85,246402467905,回复 @网络乞丐龙子 :买着玩,2024-11-09 21:48:07,回复,246383042737,246391857969,113389166664029,https://www.bilibili.com/video/av113389166664029,成绩就是一切,https://www.bilibili.com/video/av113389166664029#reply246402467905
86,246389335649,看v的这辈子有了🤣,2024-11-09 19:08:55,回复,246383042737,246383042737,113389166664029,https://www.bilibili.com/video/av113389166664029,成绩就是一切,https://www.bilibili.com/video/av113389166664029#reply246389335649
87,246324795281,你不是以色列人吗,2024-11-08 22:49:16,一级评论,,,1150365753,https://www.bilibili.com/video/av1150365753,这也许就是中国人独有的年味～,https://www.bilibili.com/video/av1150365753#reply246324795281
88,246610764496,回复 @冷色调丶Lee :满洲人吃桌角去,2024-11-08 20:16:26,回复,246310587169,246311210161,113447048052818,https://www.bilibili.com/video/av113447048052818,苹果M4 Pro/M4 Max评测：很强！,https://www.bilibili.com/video/av113447048052818#reply246610764496
89,246149569793,回复 @Sumwit :祝你永远也考不上,2024-11-06 18:28:38,回复,245801481457,246359260976,113342727327646,https://www.bilibili.com/video/av113342727327646,意义不明的蒸鸡店.jpg,https://www.bilibili.com/video/av113342727327646#reply246149569793
90,244596716224,回复 @Vilnius_ :110104孩子[调皮],2024-10-14 20:32:15,回复,243513221264,243995759776,113220555637784,https://www.bilibili.com/video/av113220555637784,感天动地带孝女用喊麦成功带走91老奶,https://www.bilibili.com/video/av113220555637784#reply244596716224
91,244554704048,打脸,2024-10-14 09:54:58,一级评论,,,307294749,https://www.bilibili.com/video/av307294749,(获取失败),https://www.bilibili.com/video/av307294749#reply244554704048
92,243828968033,回复 @Vilnius_ :看你这复读机的样子也挺可怜的,2024-10-06 23:49:07,回复,243513221264,243618166016,113220555637784,https://www.bilibili.com/video/av113220555637784,感天动地带孝女用喊麦成功带走91老奶,https://www.bilibili.com/video/av113220555637784#reply243828968033
93,242308563185,回复 @RW英雄联盟分部 :哪来的沙东人 快去考公务员去,2024-09-16 23:34:57,回复,227292689744,227882019488,1955831326,https://www.bilibili.com/video/av1955831326,互害tv之高考线还是太低了,https://www.bilibili.com/video/av1955831326#reply242308563185
94,241892006976,回复 @cdcLancome :被驳的哑口无言之后就开始人身攻击的美🐶是这样的,2024-09-10 22:55:41,回复,240751328112,241878360928,1206730454,https://www.bilibili.com/video/av1206730454,游戏性能大升级？iPhone16、16Pro Max 全系列 真机模体验&预测 | 大米评测,https://www.bilibili.com/video/av1206730454#reply241892006976
95,241658389521,回复 @小麦迪丶 :那又怎么了 人家从一开始就不考虑安卓你比什么三家,2024-09-08 17:42:46,回复,239889246384,241102060880,1206730454,https://www.bilibili.com/video/av1206730454,游戏性能大升级？iPhone16、16Pro Max 全系列 真机模体验&预测 | 大米评测,https://www.bilibili.com/video/av1206730454#reply241658389521
96,241658212529,回复 @cdcLancome :贸易自由你是一口不提 你还是去当美国的狗吧,2024-09-08 17:40:37,回复,240751328112,241702524032,1206730454,https://www.bilibili.com/video/av1206730454,游戏性能大升级？iPhone16、16Pro Max 全系列 真机模体验&预测 | 大米评测,https://www.bilibili.com/video/av1206730454#reply241658212529
97,241657960353,回复 @LokaDef :红米别碰瓷,2024-09-08 17:37:36,回复,240002147936,241200291457,1206730454,https://www.bilibili.com/video/av1206730454,游戏性能大升级？iPhone16、16Pro Max 全系列 真机模体验&预测 | 大米评测,https://www.bilibili.com/video/av1206730454#reply241657960353
98,241192975105,自由,2024-09-02 22:17:01,回复,241080921521,241080921521,1606380399,https://www.bilibili.com/video/av1606380399,经济危机、失业、犯罪…改革开放后农业如何再次拯救中国？【解读中国经济07】,https://www.bilibili.com/video/av1606380399#reply241192975105
99,241015241633,回复 @星条旗永不陨落 :我不用啊 我在北京生活的很好 你呢,2024-08-31 21:09:24,回复,199386131376,221750092192,842342283343822857,https://www.bilibili.com/video/av842342283343822857,(视频不存在或已删除),https://www.bilibili.com/video/av842342283343822857#reply241015241633
100,240921486225,回复 @荣光的阿西莫夫_喧嚣P :https://b23.tv/BV1N1421k7s6 这个你怎么看,2024-08-30 22:15:17,回复,213877725440,215161073760,1802216451,https://www.bilibili.com/video/av1802216451,用suno人工智能写了首歌，我睡不着了，你能睡着吗,https://www.bilibili.com/video/av1802216451#reply240921486225
101,240538318400,好,2024-08-27 22:28:34,一级评论,,,1606371790,https://www.bilibili.com/video/av1606371790,【伪实况】一个恶魔将在游戏里降临...丨第七维度：再临日 EP11,https://www.bilibili.com/video/av1606371790#reply240538318400
102,239489319472,回复 @時過境遷灬 :那是你没见过 我体检测的高压169 低压90 心率175,2024-08-22 22:34:09,回复,238297871696,238320525888,1756347288,https://www.bilibili.com/video/av1756347288,高血压：暴毙无声，全球死亡头号祸首，十三亿人的压力山大,https://www.bilibili.com/video/av1756347288#reply239489319472
103,237298341840,回复 @少年十月人向前进 :网左闹麻了,2024-08-12 18:24:03,回复,232177629536,237235761520,1056112219,https://www.bilibili.com/video/av1056112219,爱护文物,https://www.bilibili.com/video/av1056112219#reply237298341840
